Bundesland;Landkreis;Verwaltung;man;woman;older75;catholic;evangelic
1;56;Gemeinde;9562;10165;1818;1326;7237
1;56;Gemeinde;6574;6902;1424;857;5359
1;56;Gemeinde;8846;9351;1611;1167;5982
1;56;Gemeinde;6183;6443;1140;776;5731
1;56;Gemeinde;8463;8993;1588;1035;7593
1;56;Gemeinde;14940;16308;3572;2216;10781
1;56;Gemeindeverband;5876;6005;802;532;6074
1;56;Gemeinde;1503;1510;224;126;1492
1;56;Gemeinde;1414;1423;183;138;1480
1;56;Gemeinde;1368;1449;171;181;1303
1;56;Gemeinde;451;454;52;18;547
1;56;Gemeinde;252;270;51;21;289
1;56;Gemeinde;474;476;69;17;533
1;56;Gemeinde;414;423;52;31;430
1;56;Gemeindeverband;2018;2052;380;112;2205
1;56;Gemeinde;516;539;104;19;606
1;56;Gemeinde;849;857;176;49;998
1;56;Gemeinde;653;656;100;44;601
1;56;Gemeindeverband;1959;1981;300;107;2310
1;56;Gemeinde;321;307;41;12;403
1;56;Gemeinde;805;812;120;49;969
1;56;Gemeinde;198;200;37;12;199
1;56;Gemeinde;635;662;102;34;739
1;56;Gemeindeverband;9209;9329;1487;1010;8862
1;56;Gemeinde;2405;2494;384;298;2201
1;56;Gemeinde;337;357;35;19;334
1;56;Gemeinde;1249;1198;151;109;1194
1;56;Gemeinde;1429;1389;281;143;1409
1;56;Gemeinde;1514;1553;250;196;1379
1;56;Gemeinde;2025;2060;340;207;2075
1;56;Gemeinde;250;278;46;38;270
1;56;Gemeindeverband;4297;4173;580;326;4597
1;56;Gemeinde;298;314;40;18;366
1;56;Gemeinde;381;376;62;42;399
1;56;Gemeinde;638;595;94;48;642
1;56;Gemeinde;197;182;28;6;212
1;56;Gemeinde;712;731;95;93;725
1;56;Gemeinde;233;164;20;10;237
1;56;Gemeinde;351;338;58;24;376
1;56;Gemeinde;800;834;95;58;839
1;56;Gemeinde;278;242;45;12;295
1;56;Gemeinde;409;397;43;15;506
1;56;Gemeindeverband;10118;10421;1678;1321;8643
1;56;Gemeinde;2174;2255;341;284;1735
1;56;Gemeinde;1108;1134;145;126;1092
1;56;Gemeinde;2039;2065;416;310;1661
1;56;Gemeinde;1605;1706;310;211;1390
1;56;Gemeinde;1033;1065;187;153;858
1;56;Gemeinde;1062;1094;141;112;972
1;56;Gemeinde;1097;1102;138;125;935
1;57;Stadtkreis/kreisfreie Stadt/Landkreis;61687;65989;12454;6520;71848
1;57;Gemeinde;982;1041;135;88;1187
1;57;Gemeinde;4099;4587;1068;607;4926
